accel_stddev,gyro_stddev,bpm,activity,participant_id,participant_no,received_at,bpm_filled
0.012984,19.6526,0,DUDUK,PSR_001,1,2026-05-02T10:35:27.440329,80.0
0.03367,30.9924,0,DUDUK,PSR_001,1,2026-05-02T10:35:29.436682,80.0
0.024653,28.2483,0,DUDUK,PSR_001,1,2026-05-02T10:35:31.437199,80.0
0.011243,13.379,0,DUDUK,PSR_001,1,2026-05-02T10:35:33.438319,80.0
0.012932,5.9294,0,DUDUK,PSR_001,1,2026-05-02T10:35:35.443163,80.0
0.038141,44.5737,49,DUDUK,PSR_001,1,2026-05-02T10:35:37.448227,49.0
0.007941,11.7289,49,DUDUK,PSR_001,1,2026-05-02T10:35:39.448052,49.0
0.009864,6.2841,0,DUDUK,PSR_001,1,2026-05-02T10:35:41.448257,80.0
0.056183,18.2324,0,DUDUK,PSR_001,1,2026-05-02T10:35:43.448632,80.0
0.200169,42.7393,0,DUDUK,PSR_001,1,2026-05-02T10:35:45.459182,80.0
0.121475,49.3429,67,DUDUK,PSR_001,1,2026-05-02T10:35:47.463257,67.0
0.016637,18.6636,90,DUDUK,PSR_001,1,2026-05-02T10:35:49.457779,90.0
0.051644,26.0245,89,DUDUK,PSR_001,1,2026-05-02T10:35:51.463277,89.0
0.047141,14.8833,81,DUDUK,PSR_001,1,2026-05-02T10:35:53.475048,81.0
0.006501,5.488,77,DUDUK,PSR_001,1,2026-05-02T10:35:55.480088,77.0
0.030376,10.0017,77,DUDUK,PSR_001,1,2026-05-02T10:35:57.484894,77.0
0.017324,8.8343,72,DUDUK,PSR_001,1,2026-05-02T10:35:59.493519,72.0
0.02072,5.6601,68,DUDUK,PSR_001,1,2026-05-02T10:36:01.503093,68.0
0.00584,1.093,65,DUDUK,PSR_001,1,2026-05-02T10:36:03.512324,65.0
0.217509,51.3614,65,DUDUK,PSR_001,1,2026-05-02T10:36:05.520036,65.0
0.022161,15.4882,119,DUDUK,PSR_001,1,2026-05-02T10:36:07.528749,119.0
0.021786,7.5088,117,DUDUK,PSR_001,1,2026-05-02T10:36:09.541624,117.0
0.160545,126.7985,103,DUDUK,PSR_001,1,2026-05-02T10:36:11.548035,103.0
0.077201,40.5988,103,DUDUK,PSR_001,1,2026-05-02T10:36:13.560327,103.0
0.038171,34.3413,0,DUDUK,PSR_001,1,2026-05-02T10:36:15.555186,80.0
0.026084,22.8765,0,DUDUK,PSR_001,1,2026-05-02T10:36:17.561792,80.0
0.014137,18.2721,0,DUDUK,PSR_001,1,2026-05-02T10:36:19.570385,80.0
0.033854,4.5026,0,DUDUK,PSR_001,1,2026-05-02T10:36:21.576606,80.0
0.073597,40.5754,0,DUDUK,PSR_001,1,2026-05-02T10:36:23.580819,80.0
0.027888,30.348,42,DUDUK,PSR_001,1,2026-05-02T10:36:27.598191,42.0
0.009978,5.0728,53,DUDUK,PSR_001,1,2026-05-02T10:36:29.601271,53.0
0.014759,12.4375,57,DUDUK,PSR_001,1,2026-05-02T10:36:31.609669,57.0
0.015793,7.2544,62,DUDUK,PSR_001,1,2026-05-02T10:36:33.623050,62.0
0.007246,0.6446,69,DUDUK,PSR_001,1,2026-05-02T10:36:35.627195,69.0
