received_at,participant_no,participant_id,accel_stddev,gyro_stddev,bpm,activity,timestamp
2026-05-03T08:15:34.494211,5,PSR_005,0.004542,8.1152,0,BERLARI,29975
2026-05-03T08:15:36.493050,5,PSR_005,0.00691,2.4906,0,BERLARI,31978
2026-05-03T08:15:38.490292,5,PSR_005,0.005156,1.7611,0,BERLARI,33976
2026-05-03T08:15:40.492694,5,PSR_005,0.014589,4.256,0,BERLARI,35977
2026-05-03T08:15:42.518227,5,PSR_005,0.008023,6.0336,0,BERLARI,37977
2026-05-03T08:15:44.506855,5,PSR_005,0.011553,1.3798,0,BERLARI,39982
2026-05-03T08:15:46.533236,5,PSR_005,0.012782,24.9743,0,BERLARI,41985
2026-05-03T08:15:48.522344,5,PSR_005,0.004723,5.7749,0,BERLARI,43986
2026-05-03T08:15:50.503659,5,PSR_005,0.008241,13.0909,0,BERLARI,45989
2026-05-03T08:15:52.518406,5,PSR_005,0.006777,4.2046,92,BERLARI,47994
2026-05-03T08:15:54.544426,5,PSR_005,0.004579,2.7091,100,BERLARI,49992
2026-05-03T08:15:56.536651,5,PSR_005,0.008035,1.9716,99,BERLARI,51992
2026-05-03T08:15:58.520469,5,PSR_005,0.003585,4.295,93,BERLARI,53995
2026-05-03T08:16:00.519485,5,PSR_005,0.006345,1.2319,77,BERLARI,56001
2026-05-03T08:16:02.512914,5,PSR_005,0.066758,30.1582,69,BERLARI,57999
2026-05-03T08:16:04.564389,5,PSR_005,0.083418,24.7018,58,BERLARI,60004
2026-05-03T08:16:06.522273,5,PSR_005,0.027908,9.4484,54,BERLARI,62009
2026-05-03T08:16:08.536570,5,PSR_005,0.040802,36.264,48,BERLARI,64023
2026-05-03T08:16:10.537810,5,PSR_005,0.027448,14.4497,46,BERLARI,66023
2026-05-03T08:16:12.544255,5,PSR_005,0.080644,17.4709,46,BERLARI,68028
2026-05-03T08:16:14.553710,5,PSR_005,0.083417,39.5481,82,BERLARI,70039
2026-05-03T08:16:16.567479,5,PSR_005,0.257245,32.8179,109,BERLARI,72052
2026-05-03T08:16:18.575081,5,PSR_005,0.054868,17.4195,108,BERLARI,74057
2026-05-03T08:16:20.577956,5,PSR_005,0.101069,12.3508,101,BERLARI,76063
2026-05-03T08:16:22.654209,5,PSR_005,0.025022,13.0934,88,BERLARI,78068
2026-05-03T08:16:24.692556,5,PSR_005,0.021991,31.6538,74,BERLARI,80078
2026-05-03T08:16:26.638992,5,PSR_005,0.024165,67.0233,74,BERLARI,82083
2026-05-03T08:16:28.686098,5,PSR_005,0.056754,86.615,49,BERLARI,84093
2026-05-03T08:16:30.632399,5,PSR_005,0.016544,13.0208,89,BERLARI,86099
2026-05-03T08:16:32.680294,5,PSR_005,0.009121,4.4095,99,BERLARI,88109
2026-05-03T08:16:34.933760,5,PSR_005,0.018974,6.847,94,BERLARI,90120
2026-05-03T08:16:36.675147,5,PSR_005,0.014333,23.6151,86,BERLARI,92133
2026-05-03T08:16:38.722073,5,PSR_005,0.016521,9.8186,92,BERLARI,94138
2026-05-03T08:16:40.667371,5,PSR_005,0.017905,6.9344,96,BERLARI,96144
2026-05-03T08:16:42.717259,5,PSR_005,0.011908,4.4856,88,BERLARI,98154
2026-05-03T08:16:44.764247,5,PSR_005,0.010602,6.9147,82,BERLARI,100169
2026-05-03T08:16:46.708911,5,PSR_005,0.009585,2.5448,136,BERLARI,102172
2026-05-03T08:16:48.757736,5,PSR_005,0.013,20.4333,161,BERLARI,104180
2026-05-03T08:16:50.804533,5,PSR_005,0.010115,17.3925,142,BERLARI,106188
2026-05-03T08:16:52.751720,5,PSR_005,0.013273,9.3976,126,BERLARI,108193
2026-05-03T08:16:54.777419,5,PSR_005,0.015035,8.8678,112,BERLARI,110201
2026-05-03T08:16:56.743885,5,PSR_005,0.056855,52.2698,111,BERLARI,112219
2026-05-03T08:16:58.793606,5,PSR_005,0.010501,9.5464,107,BERLARI,114225
2026-05-03T08:17:00.841043,5,PSR_005,0.010324,2.8119,98,BERLARI,116230
2026-05-03T08:17:02.889007,5,PSR_005,0.009817,3.0667,84,BERLARI,118240
2026-05-03T08:17:04.834336,5,PSR_005,0.014502,5.5162,76,BERLARI,120255
2026-05-03T08:17:06.880998,5,PSR_005,0.012038,9.5558,83,BERLARI,122271
2026-05-03T08:17:08.827219,5,PSR_005,0.023188,18.0961,103,BERLARI,124265
2026-05-03T08:17:10.875307,5,PSR_005,0.017053,5.5824,109,BERLARI,126274
2026-05-03T08:17:12.821624,5,PSR_005,0.026286,29.6444,115,BERLARI,128294
2026-05-03T08:17:14.868926,5,PSR_005,0.008905,8.4282,113,BERLARI,130299
2026-05-03T08:17:16.916373,5,PSR_005,0.014685,5.0087,98,BERLARI,132304
2026-05-03T08:17:18.863686,5,PSR_005,0.0171,3.632,89,BERLARI,134309
2026-05-03T08:17:20.913016,5,PSR_005,0.047777,16.6384,134,BERLARI,136328
2026-05-03T08:17:22.958562,5,PSR_005,0.031006,9.8921,160,BERLARI,138343
2026-05-03T08:17:24.904172,5,PSR_005,0.015855,4.4687,154,BERLARI,140353
2026-05-03T08:17:26.953136,5,PSR_005,0.011851,2.0257,145,BERLARI,142366
2026-05-03T08:17:28.936695,5,PSR_005,0.013481,5.2614,140,BERLARI,144371
2026-05-03T08:17:30.946637,5,PSR_005,0.016187,10.4833,130,BERLARI,146382
2026-05-03T08:17:32.993631,5,PSR_005,0.013882,4.5371,131,BERLARI,148402
2026-05-03T08:17:35.348853,5,PSR_005,0.022516,4.9994,153,BERLARI,150412
2026-05-03T08:17:36.988564,5,PSR_005,0.030179,10.7293,151,BERLARI,152419
2026-05-03T08:17:39.015711,5,PSR_005,0.017092,8.0816,151,BERLARI,154425
2026-05-03T08:17:40.980917,5,PSR_005,0.033711,6.3353,0,BERLARI,156431
2026-05-03T08:17:45.177949,5,PSR_005,0.086945,71.589,0,BERLARI,158436
2026-05-03T08:17:45.486458,5,PSR_005,0.038982,56.5209,37,BERLARI,160447
2026-05-03T08:17:47.024727,5,PSR_005,0.053518,33.4613,54,BERLARI,162457
2026-05-03T08:17:48.981896,5,PSR_005,0.073494,81.4925,63,BERLARI,164462
2026-05-03T08:17:51.017754,5,PSR_005,0.017816,13.1359,96,BERLARI,166474
2026-05-03T08:17:53.064258,5,PSR_005,0.019911,4.0099,125,BERLARI,168479
2026-05-03T08:17:55.089936,5,PSR_005,0.027292,3.5006,126,BERLARI,170499
2026-05-03T08:17:57.058454,5,PSR_005,0.013775,5.9411,124,BERLARI,172492
2026-05-03T08:17:59.105694,5,PSR_005,0.020461,5.3627,110,BERLARI,174497
2026-05-03T08:18:01.052999,5,PSR_005,0.04344,13.7901,97,BERLARI,176507
2026-05-03T08:18:03.099490,5,PSR_005,0.009959,2.1584,89,BERLARI,178515
2026-05-03T08:18:05.045902,5,PSR_005,0.021626,24.7169,132,BERLARI,180520
2026-05-03T08:18:07.093177,5,PSR_005,0.094057,69.9022,139,BERLARI,182524
2026-05-03T08:18:09.049440,5,PSR_005,0.0188,20.4963,123,BERLARI,184528
2026-05-03T08:18:11.087710,5,PSR_005,0.030421,13.1831,114,BERLARI,186538
2026-05-03T08:18:13.135076,5,PSR_005,0.01996,15.5507,114,BERLARI,188543
2026-05-03T08:18:15.082714,5,PSR_005,0.034623,35.656,114,BERLARI,190548
2026-05-03T08:18:17.128603,5,PSR_005,0.228529,68.2936,0,BERLARI,192553
2026-05-03T08:18:19.176724,5,PSR_005,0.143663,121.0122,0,BERLARI,194568
2026-05-03T08:18:21.094986,5,PSR_005,0.113599,93.8808,50,BERLARI,196570
2026-05-03T08:18:23.170061,5,PSR_005,0.177791,135.7615,77,BERLARI,198575
2026-05-03T08:18:25.115486,5,PSR_005,0.17203,58.774,104,BERLARI,200588
2026-05-03T08:18:27.166061,5,PSR_005,0.17673,69.1633,133,BERLARI,202595
2026-05-03T08:18:29.211684,5,PSR_005,0.21099,58.1834,174,BERLARI,204629
2026-05-03T08:18:31.259819,5,PSR_005,0.206936,72.3368,161,BERLARI,206629
2026-05-03T08:18:33.205310,5,PSR_005,0.104386,67.8947,138,BERLARI,208639
2026-05-03T08:18:35.253484,5,PSR_005,0.145623,61.0785,146,BERLARI,210646
2026-05-03T08:18:37.178482,5,PSR_005,0.147662,55.0033,161,BERLARI,212652
2026-05-03T08:18:39.181896,5,PSR_005,0.111214,64.6381,169,BERLARI,214660
2026-05-03T08:18:41.257654,5,PSR_005,0.127575,62.7327,165,BERLARI,216665
2026-05-03T08:18:43.210467,5,PSR_005,0.201308,47.618,183,BERLARI,218685
2026-05-03T08:18:45.288432,5,PSR_005,0.11823,52.9959,183,BERLARI,220698
2026-05-03T08:18:47.336558,5,PSR_005,0.100259,63.3271,181,BERLARI,222724
2026-05-03T08:18:49.291942,5,PSR_005,0.076325,72.6417,167,BERLARI,224729
2026-05-03T08:18:51.432292,5,PSR_005,0.098537,72.4281,159,BERLARI,226740
2026-05-03T08:18:53.275663,5,PSR_005,0.062079,54.2324,159,BERLARI,228749
2026-05-03T08:18:55.359637,5,PSR_005,0.063878,49.236,168,BERLARI,230764
2026-05-03T08:18:57.319519,5,PSR_005,0.10488,47.1489,174,BERLARI,232772
2026-05-03T08:18:59.421304,5,PSR_005,0.058779,57.183,164,BERLARI,234798
2026-05-03T08:19:01.366471,5,PSR_005,0.053481,38.7525,157,BERLARI,236802
2026-05-03T08:19:03.515915,5,PSR_005,0.056497,54.6845,162,BERLARI,238820
2026-05-03T08:19:05.361391,5,PSR_005,0.086299,52.4338,162,BERLARI,240822
2026-05-03T08:19:07.408040,5,PSR_005,0.121167,65.8936,160,BERLARI,242837
2026-05-03T08:19:09.455086,5,PSR_005,0.183674,145.2949,165,BERLARI,244832
2026-05-03T08:19:11.392289,5,PSR_005,0.116712,67.9745,182,BERLARI,246849
2026-05-03T08:19:13.450473,5,PSR_005,0.076678,89.4379,183,BERLARI,248862
2026-05-03T08:19:15.394321,5,PSR_005,0.063416,76.3038,164,BERLARI,250870
2026-05-03T08:19:17.450736,5,PSR_005,0.043878,44.6864,145,BERLARI,252888
2026-05-03T08:19:19.475611,5,PSR_005,0.054756,72.0612,139,BERLARI,254891
2026-05-03T08:19:21.450290,5,PSR_005,0.0643,64.9639,137,BERLARI,256897
2026-05-03T08:19:23.485354,5,PSR_005,0.049719,102.4289,137,BERLARI,258917
2026-05-03T08:19:25.446976,5,PSR_005,0.19399,159.5145,130,BERLARI,260922
2026-05-03T08:19:27.458524,5,PSR_005,0.054866,58.7288,106,BERLARI,262936
2026-05-03T08:19:29.471142,5,PSR_005,0.117302,163.8001,115,BERLARI,264945
2026-05-03T08:19:31.482224,5,PSR_005,0.040565,40.772,128,BERLARI,266961
2026-05-03T08:19:33.497462,5,PSR_005,0.16437,92.9019,125,BERLARI,268974
2026-05-03T08:19:35.512981,5,PSR_005,0.101556,83.3466,130,BERLARI,270989
2026-05-03T08:19:37.516042,5,PSR_005,0.091473,86.1789,134,BERLARI,272993
2026-05-03T08:19:39.528867,5,PSR_005,0.065508,81.635,140,BERLARI,275003
2026-05-03T08:19:41.533961,5,PSR_005,0.101004,85.91,141,BERLARI,277011
2026-05-03T08:19:43.542193,5,PSR_005,0.141533,97.9954,142,BERLARI,279016
2026-05-03T08:19:46.042845,5,PSR_005,0.086378,85.1346,142,BERLARI,281024
2026-05-03T08:19:47.554382,5,PSR_005,0.075543,77.2884,140,BERLARI,283029
2026-05-03T08:19:49.570889,5,PSR_005,0.084758,75.2604,140,BERLARI,285044
2026-05-03T08:19:51.575630,5,PSR_005,0.170016,84.2125,140,BERLARI,287053
2026-05-03T08:19:53.590321,5,PSR_005,0.083736,84.0183,132,BERLARI,289063
2026-05-03T08:19:55.591228,5,PSR_005,0.074949,78.0556,127,BERLARI,291068
2026-05-03T08:19:57.599521,5,PSR_005,0.116152,90.5053,135,BERLARI,293076
