received_at,participant_no,participant_id,accel_stddev,gyro_stddev,bpm,activity,timestamp
2026-05-03T12:25:49.103068,10,PSR_01O,0.00777,0.0538,0,DUDUK,6258434
2026-05-03T12:25:51.112092,10,PSR_01O,0.007042,0.0413,0,DUDUK,6260438
2026-05-03T12:25:53.116322,10,PSR_01O,0.112157,51.8188,0,DUDUK,6262443
2026-05-03T12:25:55.135596,10,PSR_01O,0.016838,10.5711,0,DUDUK,6264453
2026-05-03T12:25:57.141008,10,PSR_01O,0.060805,35.4391,0,DUDUK,6266467
2026-05-03T12:25:59.147610,10,PSR_01O,0.007535,5.1008,0,DUDUK,6268472
2026-05-03T12:26:01.148860,10,PSR_01O,0.045309,23.8245,0,DUDUK,6270478
2026-05-03T12:26:05.176814,10,PSR_01O,0.016264,8.3998,35,DUDUK,6274503
2026-05-03T12:26:07.186220,10,PSR_01O,0.018079,3.6441,80,DUDUK,6276513
2026-05-03T12:26:09.192265,10,PSR_01O,0.108862,35.6167,121,DUDUK,6278521
2026-05-03T12:26:11.198186,10,PSR_01O,0.018492,17.1441,138,DUDUK,6280524
2026-05-03T12:26:13.199619,10,PSR_01O,0.009046,0.4604,120,DUDUK,6282529
2026-05-03T12:26:15.211200,10,PSR_01O,0.00983,5.1202,100,DUDUK,6284540
2026-05-03T12:26:17.214940,10,PSR_01O,0.02042,3.658,88,DUDUK,6286545
2026-05-03T12:26:19.220453,10,PSR_01O,0.008526,2.9989,74,DUDUK,6288550
2026-05-03T12:26:21.232431,10,PSR_01O,0.007909,3.8477,77,DUDUK,6290561
2026-05-03T12:26:23.237170,10,PSR_01O,0.010692,1.1901,86,DUDUK,6292566
2026-05-03T12:26:25.241638,10,PSR_01O,0.007317,0.6462,92,DUDUK,6294571
2026-05-03T12:26:27.247162,10,PSR_01O,0.009476,2.8236,92,DUDUK,6296576
2026-05-03T12:26:29.252247,10,PSR_01O,0.009318,0.8624,92,DUDUK,6298582
2026-05-03T12:26:31.263038,10,PSR_01O,0.00654,1.3357,91,DUDUK,6300593
2026-05-03T12:26:33.273215,10,PSR_01O,0.011003,3.2702,93,DUDUK,6302601
2026-05-03T12:26:35.282422,10,PSR_01O,0.016344,4.1308,95,DUDUK,6304611
2026-05-03T12:26:37.293267,10,PSR_01O,0.013824,6.6188,110,DUDUK,6306619
2026-05-03T12:26:39.297757,10,PSR_01O,0.007809,0.603,115,DUDUK,6308624
2026-05-03T12:26:41.302799,10,PSR_01O,0.007153,0.5691,108,DUDUK,6310631
2026-05-03T12:26:43.312525,10,PSR_01O,0.007854,0.3637,99,DUDUK,6312641
2026-05-03T12:26:45.321280,10,PSR_01O,0.008255,0.4683,88,DUDUK,6314649
2026-05-03T12:26:47.341491,10,PSR_01O,0.007849,0.5116,81,DUDUK,6316669
2026-05-03T12:26:49.639818,10,PSR_01O,0.00648,0.5022,79,DUDUK,6318674
2026-05-03T12:26:51.351313,10,PSR_01O,0.008371,0.4841,77,DUDUK,6320679
2026-05-03T12:26:53.363437,10,PSR_01O,0.009671,0.3747,77,DUDUK,6322692
2026-05-03T12:26:55.368609,10,PSR_01O,0.008184,0.3781,77,DUDUK,6324697
2026-05-03T12:26:57.377954,10,PSR_01O,0.004659,0.4452,77,DUDUK,6326705
2026-05-03T12:26:59.392217,10,PSR_01O,0.009587,0.413,77,DUDUK,6328720
2026-05-03T12:27:01.398152,10,PSR_01O,0.006073,0.4475,77,DUDUK,6330726
2026-05-03T12:27:03.402470,10,PSR_01O,0.01084,0.7711,77,DUDUK,6332730
