received_at,participant_no,participant_id,accel_stddev,gyro_stddev,bpm,activity,timestamp
2026-05-03T18:27:11.934754,11,PSR_011,0.004592,1.9619,0,DUDUK,120938
2026-05-03T18:27:14.007095,11,PSR_011,0.013357,21.6579,0,DUDUK,122943
2026-05-03T18:27:15.954681,11,PSR_011,0.005233,5.4472,0,DUDUK,124948
2026-05-03T18:27:17.981526,11,PSR_011,0.012518,14.2838,34,DUDUK,126954
2026-05-03T18:27:19.945916,11,PSR_011,0.004361,2.9516,71,DUDUK,128952
2026-05-03T18:27:21.994026,11,PSR_011,0.008122,0.2731,86,DUDUK,130958
2026-05-03T18:27:23.939792,11,PSR_011,0.005683,0.2824,94,DUDUK,132956
2026-05-03T18:27:25.988362,11,PSR_011,0.006093,0.9163,92,DUDUK,134956
2026-05-03T18:27:28.035646,11,PSR_011,0.006314,1.5755,84,DUDUK,136962
2026-05-03T18:27:30.493540,11,PSR_011,0.013148,3.0087,82,DUDUK,138960
2026-05-03T18:27:31.934620,11,PSR_011,0.004601,1.7471,82,DUDUK,140960
2026-05-03T18:27:33.973903,11,PSR_011,0.005442,1.3761,85,DUDUK,142965
2026-05-03T18:27:36.022558,11,PSR_011,0.007696,0.4274,87,DUDUK,144972
2026-05-03T18:27:37.970286,11,PSR_011,0.007147,0.7277,86,DUDUK,146983
2026-05-03T18:27:40.016479,11,PSR_011,0.008624,0.3263,86,DUDUK,148997
2026-05-03T18:27:42.064117,11,PSR_011,0.007112,0.4815,82,DUDUK,151016
2026-05-03T18:27:44.018941,11,PSR_011,0.007873,0.3894,79,DUDUK,153021
2026-05-03T18:27:46.058058,11,PSR_011,0.009341,0.3263,76,DUDUK,155026
2026-05-03T18:27:48.539335,11,PSR_011,0.007121,0.3499,75,DUDUK,157037
2026-05-03T18:27:50.053472,11,PSR_011,0.007754,0.3051,74,DUDUK,159046
2026-05-03T18:27:52.099545,11,PSR_011,0.006046,0.2433,74,DUDUK,161056
2026-05-03T18:27:54.045101,11,PSR_011,0.006693,0.302,73,DUDUK,163066
2026-05-03T18:27:56.093178,11,PSR_011,0.009476,0.3,73,DUDUK,165075
2026-05-03T18:27:58.142165,11,PSR_011,0.009014,0.2002,73,DUDUK,167083
2026-05-03T18:28:00.086708,11,PSR_011,0.006844,0.2822,73,DUDUK,169093
2026-05-03T18:28:02.134502,11,PSR_011,0.010489,0.1944,73,DUDUK,171102
2026-05-03T18:28:04.082957,11,PSR_011,0.008634,0.2163,73,DUDUK,173107
2026-05-03T18:28:06.230904,11,PSR_011,0.009808,0.2252,73,DUDUK,175127
2026-05-03T18:28:08.176527,11,PSR_011,0.006142,0.2682,73,DUDUK,177144
2026-05-03T18:28:10.736087,11,PSR_011,0.006611,0.2502,73,DUDUK,179154
2026-05-03T18:28:12.170567,11,PSR_011,0.010046,0.2218,73,DUDUK,181159
2026-05-03T18:28:14.218221,11,PSR_011,0.007708,0.2391,73,DUDUK,183166
2026-05-03T18:28:16.778052,11,PSR_011,0.008502,0.2033,74,DUDUK,185185
2026-05-03T18:28:18.418947,11,PSR_011,0.007487,0.3054,75,DUDUK,187189
2026-05-03T18:28:20.874056,11,PSR_011,0.008188,0.4502,76,DUDUK,189199
2026-05-03T18:28:22.205239,11,PSR_011,0.008108,0.458,78,DUDUK,191209
2026-05-03T18:28:24.255210,11,PSR_011,0.006979,0.7788,78,DUDUK,193214
2026-05-03T18:28:26.227270,11,PSR_011,0.008596,0.3418,78,DUDUK,195227
2026-05-03T18:28:28.247018,11,PSR_011,0.013118,0.5415,78,DUDUK,197236
2026-05-03T18:28:30.295016,11,PSR_011,0.006997,0.3218,78,DUDUK,199244
2026-05-03T18:28:32.240788,11,PSR_011,0.00822,0.3973,77,DUDUK,201249
2026-05-03T18:28:34.288620,11,PSR_011,0.004877,0.7652,77,DUDUK,203259
2026-05-03T18:28:36.336826,11,PSR_011,0.00818,2.4196,77,DUDUK,205266
2026-05-03T18:28:38.284123,11,PSR_011,0.010323,1.5236,77,DUDUK,207277
2026-05-03T18:28:40.330295,11,PSR_011,0.006389,0.2124,78,DUDUK,209285
2026-05-03T18:28:42.275940,11,PSR_011,0.006238,0.3624,79,DUDUK,211295
2026-05-03T18:28:44.323888,11,PSR_011,0.007833,0.3669,79,DUDUK,213303
2026-05-03T18:28:46.371950,11,PSR_011,0.005532,0.2417,78,DUDUK,215316
2026-05-03T18:28:48.317191,11,PSR_011,0.006739,0.5122,78,DUDUK,217332
2026-05-03T18:28:50.877391,11,PSR_011,0.005991,0.2632,78,DUDUK,219347
2026-05-03T18:28:52.413576,11,PSR_011,0.008482,0.439,78,DUDUK,221355
2026-05-03T18:28:54.974065,11,PSR_011,0.006276,0.3777,78,DUDUK,223360
2026-05-03T18:28:56.611859,11,PSR_011,0.008175,0.4683,78,DUDUK,225373
2026-05-03T18:28:58.455068,11,PSR_011,0.00786,0.3959,78,DUDUK,227382
2026-05-03T18:29:00.605598,11,PSR_011,0.008234,0.3746,78,DUDUK,229387
2026-05-03T18:29:02.448446,11,PSR_011,0.00601,0.579,78,DUDUK,231390
2026-05-03T18:29:04.394223,11,PSR_011,0.004382,0.3564,78,DUDUK,233395
2026-05-03T18:29:06.442257,11,PSR_011,0.005993,0.3072,78,DUDUK,235410
2026-05-03T18:29:08.394913,11,PSR_011,0.005845,0.6363,78,DUDUK,237417
2026-05-03T18:29:10.437969,11,PSR_011,0.006403,0.7883,78,DUDUK,239420
2026-05-03T18:29:12.484544,11,PSR_011,0.006323,0.6827,79,DUDUK,241430
2026-05-03T18:29:14.417313,11,PSR_011,0.006516,0.517,79,DUDUK,243439
2026-05-03T18:29:16.477768,11,PSR_011,0.00673,0.3261,82,DUDUK,245449
2026-05-03T18:29:18.525687,11,PSR_011,0.004949,0.6996,82,DUDUK,247458
2026-05-03T18:29:21.087694,11,PSR_011,0.005766,0.2202,81,DUDUK,249463
2026-05-03T18:29:22.447021,11,PSR_011,0.004844,0.258,80,DUDUK,251469
2026-05-03T18:29:25.079722,11,PSR_011,0.005433,0.4845,79,DUDUK,253479
2026-05-03T18:29:26.513774,11,PSR_011,0.006947,0.2807,79,DUDUK,255489
2026-05-03T18:29:28.564159,11,PSR_011,0.007895,1.0289,79,DUDUK,257494
2026-05-03T18:29:30.506812,11,PSR_011,0.005147,0.9036,80,DUDUK,259500
2026-05-03T18:29:32.554554,11,PSR_011,0.005237,0.4282,82,DUDUK,261515
2026-05-03T18:29:35.034020,11,PSR_011,0.003673,0.4841,82,DUDUK,263525
2026-05-03T18:29:36.547856,11,PSR_011,0.005036,0.5315,82,DUDUK,265529
2026-05-03T18:29:38.597116,11,PSR_011,0.006469,0.4066,81,DUDUK,267537
2026-05-03T18:29:40.541877,11,PSR_011,0.004966,0.6273,81,DUDUK,269547
2026-05-03T18:29:42.589841,11,PSR_011,0.00498,0.357,81,DUDUK,271554
2026-05-03T18:29:44.638881,11,PSR_011,0.005124,0.3501,81,DUDUK,273564
2026-05-03T18:29:46.585041,11,PSR_011,0.006685,0.4523,81,DUDUK,275567
2026-05-03T18:29:48.631543,11,PSR_011,0.005852,0.1872,81,DUDUK,277576
2026-05-03T18:29:50.577368,11,PSR_011,0.004564,1.0462,81,DUDUK,279586
2026-05-03T18:29:52.625166,11,PSR_011,0.004625,0.4289,81,DUDUK,281596
2026-05-03T18:29:54.673094,11,PSR_011,0.007074,0.3972,82,DUDUK,283599
2026-05-03T18:29:56.618806,11,PSR_011,0.009804,1.3907,83,DUDUK,285609
2026-05-03T18:29:58.623735,11,PSR_011,0.007216,0.4275,85,DUDUK,287615
2026-05-03T18:30:00.714706,11,PSR_011,0.007652,0.2901,86,DUDUK,289630
2026-05-03T18:30:02.661362,11,PSR_011,0.007746,0.6426,86,DUDUK,291645
2026-05-03T18:30:04.708406,11,PSR_011,0.008987,0.5789,86,DUDUK,293650
2026-05-03T18:30:06.653754,11,PSR_011,0.004341,0.8986,86,DUDUK,295655
2026-05-03T18:30:08.701984,11,PSR_011,0.007785,0.4592,85,DUDUK,297666
2026-05-03T18:30:10.750216,11,PSR_011,0.00503,0.3055,83,DUDUK,299686
2026-05-03T18:30:13.821424,11,PSR_011,0.00446,0.4515,80,DUDUK,301691
