received_at,participant_no,participant_id,accel_stddev,gyro_stddev,bpm,local_act,timestamp
2026-04-06T21:02:54.532124,1,dimas,0.007813,0.1922,0,DUDUK,92839
2026-04-06T21:02:56.537603,1,dimas,0.005202,0.0261,0,DUDUK,94845
2026-04-06T21:02:58.544370,1,dimas,0.005483,0.4032,0,DUDUK,96851
2026-04-06T21:03:00.550018,1,dimas,0.165458,75.1473,0,DUDUK,98857
2026-04-06T21:03:02.561483,1,dimas,0.238351,37.9355,0,BERLARI,100868
2026-04-06T21:03:06.576769,1,dimas,0.024454,9.3825,46,DUDUK,104883
2026-04-06T21:03:08.581452,1,dimas,0.030887,43.844,82,DUDUK,106888
2026-04-06T21:03:10.586838,1,dimas,0.076203,29.6828,82,DUDUK,108894
2026-04-06T21:03:12.593657,1,dimas,0.115658,39.7247,0,DUDUK,110900
2026-04-06T21:03:14.608670,1,dimas,0.099741,49.9992,0,DUDUK,112908
2026-04-06T21:03:16.609718,1,dimas,0.098896,48.4197,33,BERLARI,114914
2026-04-06T21:03:18.619027,1,dimas,0.107936,37.6044,110,BERJALAN,116925
2026-04-06T21:03:20.629740,1,dimas,0.13199,38.7183,110,BERJALAN,118936
2026-04-06T21:03:22.747731,1,dimas,0.023373,22.0315,0,BERLARI,120947
2026-04-06T21:03:24.648014,1,dimas,0.005797,6.9467,38,DUDUK,122954
2026-04-06T21:03:26.670694,1,dimas,0.006486,2.0655,38,DUDUK,124977
2026-04-06T21:03:28.670929,1,dimas,0.006625,7.8726,0,DUDUK,126976
2026-04-06T21:03:30.681732,1,dimas,0.008173,10.0146,38,DUDUK,128987
2026-04-06T21:03:32.689693,1,dimas,0.004901,1.915,100,DUDUK,130996
2026-04-06T21:03:34.704570,1,dimas,0.004462,1.6631,142,DUDUK,133010
2026-04-06T21:03:36.713099,1,dimas,0.006452,0.3521,142,DUDUK,135019
2026-04-06T21:03:38.725613,1,dimas,0.005361,0.4043,0,DUDUK,137027
2026-04-06T21:03:40.727818,1,dimas,0.004524,0.3315,0,DUDUK,139033
2026-04-06T21:03:42.738993,1,dimas,0.006637,0.2435,0,DUDUK,141045
2026-04-06T21:03:44.748227,1,dimas,0.006675,0.5956,0,DUDUK,143054
2026-04-06T21:03:46.826541,1,dimas,0.006899,2.3741,0,DUDUK,145080
2026-04-06T21:03:48.911002,1,dimas,0.007489,0.3194,0,DUDUK,147099
2026-04-06T21:03:50.809502,1,dimas,0.00891,8.2056,48,DUDUK,149113
2026-04-06T21:03:52.814728,1,dimas,0.008077,5.0998,65,DUDUK,151119
2026-04-06T21:03:54.822607,1,dimas,0.005185,0.6444,77,DUDUK,153128
2026-04-06T21:03:57.032347,1,dimas,0.007742,5.5706,80,DUDUK,155142
2026-04-06T21:03:58.857586,1,dimas,0.007131,2.5239,152,DUDUK,157162
2026-04-06T21:04:00.872003,1,dimas,0.005664,3.2182,185,DUDUK,159176
2026-04-06T21:04:02.892380,1,dimas,0.00432,0.2058,185,DUDUK,161197
2026-04-06T21:04:04.911213,1,dimas,0.007094,1.5631,182,DUDUK,163216
2026-04-06T21:04:06.922324,1,dimas,0.007108,6.2794,187,DUDUK,165226
2026-04-06T21:04:08.931435,1,dimas,0.011407,2.119,163,DUDUK,167236
2026-04-06T21:04:10.949223,1,dimas,0.006959,1.0021,151,DUDUK,169250
2026-04-06T21:04:12.953107,1,dimas,0.005711,5.5359,159,DUDUK,171258
2026-04-06T21:04:14.965002,1,dimas,0.006503,0.7337,134,DUDUK,173269
2026-04-06T21:04:16.972780,1,dimas,0.006839,0.8647,129,DUDUK,175275
2026-04-06T21:04:18.975571,1,dimas,0.005241,0.7365,144,DUDUK,177280
2026-04-06T21:04:20.989855,1,dimas,0.005329,0.4484,144,DUDUK,179292
2026-04-06T21:04:23.000536,1,dimas,0.005255,0.6946,0,DUDUK,181303
2026-04-06T21:04:25.007654,1,dimas,0.005726,0.6902,0,DUDUK,183312
2026-04-06T21:04:27.025454,1,dimas,0.005563,1.0389,0,DUDUK,185329
2026-04-06T21:04:29.043805,1,dimas,0.00422,0.4397,0,DUDUK,187348
2026-04-06T21:04:31.061069,1,dimas,0.005372,1.2547,0,DUDUK,189364
2026-04-06T21:04:33.072847,1,dimas,0.006057,0.6234,0,DUDUK,191376
2026-04-06T21:04:35.082546,1,dimas,0.011743,0.3845,0,DUDUK,193387
2026-04-06T21:04:37.093024,1,dimas,0.007525,1.6582,0,DUDUK,195396
2026-04-06T21:04:39.097170,1,dimas,0.007662,0.2086,49,DUDUK,197401
2026-04-06T21:04:41.114795,1,dimas,0.005201,1.8671,85,DUDUK,199418
2026-04-06T21:04:43.118422,1,dimas,0.004437,0.6103,85,DUDUK,201422
2026-04-06T21:04:45.124513,1,dimas,0.007171,7.9213,48,DUDUK,203428
2026-04-06T21:04:47.131764,1,dimas,0.005872,2.9705,65,DUDUK,205435
2026-04-06T21:04:49.143705,1,dimas,0.005066,3.217,80,DUDUK,207446
2026-04-06T21:04:51.147653,1,dimas,0.004128,1.284,94,DUDUK,209451
2026-04-06T21:04:53.155884,1,dimas,0.005442,5.0383,130,DUDUK,211459
2026-04-06T21:04:55.163130,1,dimas,0.004263,0.7961,132,DUDUK,213466
2026-04-06T21:04:57.175748,1,dimas,0.007631,1.2521,113,DUDUK,215479
2026-04-06T21:04:59.184399,1,dimas,0.004897,0.8389,100,DUDUK,217487
2026-04-06T21:05:01.190844,1,dimas,0.008826,2.9361,118,DUDUK,219493
2026-04-06T21:05:03.201834,1,dimas,0.005384,0.7971,110,DUDUK,221503
2026-04-06T21:05:05.209357,1,dimas,0.004681,4.1257,96,DUDUK,223512
2026-04-06T21:05:07.218821,1,dimas,0.009388,2.4428,80,DUDUK,225522
2026-04-06T21:05:09.230048,1,dimas,0.004667,4.9343,110,DUDUK,227532
2026-04-06T21:05:11.246134,1,dimas,0.004224,1.1156,127,DUDUK,229547
2026-04-06T21:05:13.256357,1,dimas,0.005982,0.5745,127,DUDUK,231558
2026-04-06T21:05:15.263193,1,dimas,0.005325,1.5422,0,DUDUK,233566
2026-04-06T21:05:17.283454,1,dimas,0.00567,0.7777,0,DUDUK,235586
2026-04-06T21:05:19.288631,1,dimas,0.005283,1.1911,0,DUDUK,237590
2026-04-06T21:05:21.289607,1,dimas,0.008913,0.9856,0,DUDUK,239592
2026-04-06T21:05:23.297977,1,dimas,0.009234,9.4918,79,DUDUK,241600
2026-04-06T21:05:25.312260,1,dimas,0.006787,1.0355,122,DUDUK,243614
2026-04-06T21:05:27.331771,1,dimas,0.007468,0.6333,146,DUDUK,245633
2026-04-06T21:05:29.352217,1,dimas,0.00634,0.2162,158,DUDUK,247644
2026-04-06T21:05:31.348400,1,dimas,0.005994,0.9262,158,DUDUK,249650
2026-04-06T21:05:33.361907,1,dimas,0.006327,1.0006,0,DUDUK,251663
2026-04-06T21:05:35.374271,1,dimas,0.008674,0.706,0,DUDUK,253674
2026-04-06T21:05:37.380378,1,dimas,0.006208,1.3458,0,DUDUK,255682
2026-04-06T21:05:39.394891,1,dimas,0.007953,1.3408,0,DUDUK,257695
2026-04-06T21:05:41.397870,1,dimas,0.004054,1.0146,0,DUDUK,259699
2026-04-06T21:05:43.409510,1,dimas,0.005746,4.7431,73,DUDUK,261709
2026-04-06T21:05:45.420916,1,dimas,0.006907,0.5076,135,DUDUK,263721
2026-04-06T21:05:47.444751,1,dimas,0.006166,2.1136,173,DUDUK,265746
2026-04-06T21:05:49.461632,1,dimas,0.007407,3.0543,186,DUDUK,267762
2026-04-06T21:05:51.472914,1,dimas,0.007692,1.0626,186,DUDUK,269774
2026-04-06T21:05:53.477431,1,dimas,0.005047,3.8577,0,DUDUK,271779
2026-04-06T21:05:55.487989,1,dimas,0.006009,3.789,0,DUDUK,273789
2026-04-06T21:05:57.493049,1,dimas,0.009963,7.39,103,DUDUK,275794
2026-04-06T21:05:59.503988,1,dimas,0.008953,2.1821,135,DUDUK,277805
2026-04-06T21:06:01.519820,1,dimas,0.007452,1.7581,158,DUDUK,279820
2026-04-06T21:06:03.532407,1,dimas,0.005817,2.3707,158,DUDUK,281833
2026-04-06T21:06:05.543497,1,dimas,0.003926,1.3022,0,DUDUK,283837
2026-04-06T21:06:07.548942,1,dimas,0.006373,5.5289,44,DUDUK,285847
2026-04-06T21:06:09.561893,1,dimas,0.006908,3.3124,110,DUDUK,287860
2026-04-06T21:06:11.568040,1,dimas,0.004299,0.5972,140,DUDUK,289868
2026-04-06T21:06:13.573441,1,dimas,0.005284,1.7301,140,DUDUK,291873
2026-04-06T21:06:15.588740,1,dimas,0.009751,6.2372,0,DUDUK,293883
2026-04-06T21:06:17.588200,1,dimas,0.008469,1.1389,0,DUDUK,295888
2026-04-06T21:06:19.597888,1,dimas,0.007496,5.0517,0,DUDUK,297898
2026-04-06T21:06:21.601753,1,dimas,0.005294,6.3857,48,DUDUK,299901
2026-04-06T21:06:23.606539,1,dimas,0.00554,3.7924,67,DUDUK,301906
2026-04-06T21:06:25.614819,1,dimas,0.006046,7.2713,87,DUDUK,303916
2026-04-06T21:06:27.629617,1,dimas,0.007699,2.6089,97,DUDUK,305929
2026-04-06T21:06:29.640428,1,dimas,0.009518,1.2873,167,DUDUK,307940
2026-04-06T21:06:31.656148,1,dimas,0.008869,2.0808,167,DUDUK,309955
2026-04-06T21:06:33.660103,1,dimas,0.010343,6.3523,0,DUDUK,311960
2026-04-06T21:06:35.666522,1,dimas,0.006864,1.27,0,DUDUK,313965
2026-04-06T21:06:37.671698,1,dimas,0.009094,0.979,0,DUDUK,315971
2026-04-06T21:06:39.686164,1,dimas,0.006298,0.2282,0,DUDUK,317986
2026-04-06T21:06:41.705453,1,dimas,0.006419,0.4554,0,DUDUK,320005
2026-04-06T21:06:43.708304,1,dimas,0.004885,6.5852,0,DUDUK,322008
2026-04-06T21:06:45.726092,1,dimas,0.157355,19.9398,70,DUDUK,324019
2026-04-06T21:06:47.724633,1,dimas,0.099936,45.0607,77,DUDUK,326024
2026-04-06T21:06:49.731122,1,dimas,0.03936,32.3841,77,BERJALAN,328029
2026-04-06T21:06:51.750350,1,dimas,0.0195,22.1307,79,BERJALAN,330038
2026-04-06T21:06:53.748062,1,dimas,0.020324,16.1159,110,BERJALAN,332045
2026-04-06T21:06:55.751094,1,dimas,0.084247,35.3397,110,BERJALAN,334050
2026-04-06T21:06:57.758516,1,dimas,0.067538,22.7962,0,BERJALAN,336058
2026-04-06T21:06:59.774579,1,dimas,0.03918,17.4937,0,BERJALAN,338065
2026-04-06T21:07:01.782618,1,dimas,0.021896,19.2579,74,BERJALAN,340075
2026-04-06T21:07:03.784901,1,dimas,0.087089,23.8353,148,BERJALAN,342084
2026-04-06T21:07:05.806232,1,dimas,0.051008,40.034,161,BERJALAN,344104
2026-04-06T21:07:07.807412,1,dimas,0.030653,21.7944,161,BERJALAN,346106
2026-04-06T21:07:09.820269,1,dimas,0.020126,21.4722,0,BERJALAN,348119
2026-04-06T21:07:11.833509,1,dimas,0.074105,30.1037,132,BERJALAN,350131
2026-04-06T21:07:13.846617,1,dimas,0.05151,24.2855,166,BERJALAN,352145
2026-04-06T21:07:15.856492,1,dimas,0.039185,28.1354,166,BERJALAN,354155
2026-04-06T21:07:17.873367,1,dimas,0.132619,54.1377,0,BERLARI,356170
2026-04-06T21:07:19.882812,1,dimas,0.082007,21.9837,0,BERJALAN,358180
2026-04-06T21:07:21.900416,1,dimas,0.0359,8.6039,165,BERJALAN,360195
2026-04-06T21:07:23.912596,1,dimas,0.038196,19.2315,176,DUDUK,362210
2026-04-06T21:07:25.919202,1,dimas,0.079071,21.8342,176,BERJALAN,364217
2026-04-06T21:07:27.923542,1,dimas,0.051193,12.1114,173,BERJALAN,366221
2026-04-06T21:07:29.933773,1,dimas,0.108076,49.4131,166,BERLARI,368231
2026-04-06T21:07:31.942597,1,dimas,0.061709,11.9903,162,BERJALAN,370239
2026-04-06T21:07:33.949010,1,dimas,0.129136,10.3996,155,BERJALAN,372247
2026-04-06T21:07:35.954293,1,dimas,0.162725,22.8086,157,BERLARI,374252
2026-04-06T21:07:37.960286,1,dimas,0.078085,24.9611,157,BERJALAN,376257
2026-04-06T21:07:39.982915,1,dimas,0.102397,28.2087,58,BERJALAN,378274
2026-04-06T21:07:41.981950,1,dimas,0.111225,25.5472,68,BERJALAN,380279
2026-04-06T21:07:44.087512,1,dimas,0.102846,23.3645,71,BERJALAN,382284
2026-04-06T21:07:45.997486,1,dimas,0.080623,20.9957,69,BERJALAN,384294
2026-04-06T21:07:48.003458,1,dimas,0.082032,20.9545,64,BERJALAN,386301
2026-04-06T21:07:50.022802,1,dimas,0.178185,54.205,60,BERJALAN,388319
