received_at,participant_no,participant_id,accel_stddev,gyro_stddev,bpm,local_act,timestamp
2026-04-07T09:02:12.271246,2,dupong,0.007036,0.0593,0,DUDUK,75241
2026-04-07T09:02:14.275579,2,dupong,0.008157,0.0233,0,DUDUK,77246
2026-04-07T09:02:16.288297,2,dupong,0.007925,0.0263,0,DUDUK,79253
2026-04-07T09:02:18.289655,2,dupong,0.004976,0.0259,0,DUDUK,81258
2026-04-07T09:02:20.295950,2,dupong,0.006221,9.5688,0,DUDUK,83263
2026-04-07T09:02:22.298954,2,dupong,0.024629,16.6253,0,BERJALAN,85269
2026-04-07T09:02:24.304657,2,dupong,0.014555,11.7332,48,BERJALAN,87274
2026-04-07T09:02:26.307954,2,dupong,0.034975,29.4213,86,BERJALAN,89277
2026-04-07T09:02:28.323294,2,dupong,0.148304,29.4889,86,BERJALAN,91292
2026-04-07T09:02:30.334157,2,dupong,0.136823,15.8822,82,BERLARI,93302
2026-04-07T09:02:32.342881,2,dupong,0.197739,16.5344,130,BERLARI,95310
2026-04-07T09:02:34.345793,2,dupong,0.115029,11.9586,162,BERLARI,97315
2026-04-07T09:02:36.353383,2,dupong,0.225193,42.7217,164,BERLARI,99322
2026-04-07T09:02:38.357279,2,dupong,0.106694,23.2669,167,BERJALAN,101327
2026-04-07T09:02:40.363346,2,dupong,0.186151,74.4074,176,BERJALAN,103332
2026-04-07T09:02:42.381318,2,dupong,0.26468,44.2354,167,BERLARI,105348
2026-04-07T09:02:44.377595,2,dupong,0.172917,48.2267,152,BERLARI,107347
2026-04-07T09:02:46.384230,2,dupong,0.036907,24.5222,150,BERLARI,109352
2026-04-07T09:02:48.393782,2,dupong,0.008948,0.4375,150,DUDUK,111362
2026-04-07T09:02:50.416455,2,dupong,0.008534,9.2869,0,DUDUK,113385
2026-04-07T09:02:52.430815,2,dupong,0.006305,10.4806,86,DUDUK,115400
2026-04-07T09:02:54.442157,2,dupong,0.011796,3.731,128,DUDUK,117410
2026-04-07T09:02:56.451759,2,dupong,0.008253,0.8968,138,DUDUK,119420
2026-04-07T09:02:58.465052,2,dupong,0.007906,0.7487,138,DUDUK,121433
2026-04-07T09:03:00.465916,2,dupong,0.008934,1.6722,0,DUDUK,123435
2026-04-07T09:03:02.476812,2,dupong,0.012861,7.883,0,DUDUK,125445
2026-04-07T09:03:04.481969,2,dupong,0.009328,3.6489,33,DUDUK,127450
2026-04-07T09:03:06.496405,2,dupong,0.009288,8.4519,79,DUDUK,129465
2026-04-07T09:03:08.501718,2,dupong,0.143565,69.9115,123,BERLARI,131470
