received_at,device_id,user,accel_stddev,gyro_stddev,bpm,local_act,activity,timestamp
2026-04-06T16:47:46.563208,ESP32_001,User_001,0.01986,13.6632,181,BERJALAN,BERJALAN,21952
2026-04-06T16:47:48.515987,ESP32_001,User_001,0.023042,16.544,143,BERJALAN,BERJALAN,23958
2026-04-06T16:47:50.555185,ESP32_001,User_001,0.016901,12.3976,138,BERJALAN,BERJALAN,25978
2026-04-06T16:47:52.500762,ESP32_001,User_001,0.116366,21.6514,172,BERJALAN,BERJALAN,27985
2026-04-06T16:47:54.549328,ESP32_001,User_001,0.032871,29.1117,167,BERJALAN,BERJALAN,30002
2026-04-06T16:47:56.495255,ESP32_001,User_001,0.032554,16.2557,174,BERJALAN,BERJALAN,32012
2026-04-06T16:47:58.545212,ESP32_001,User_001,0.029069,10.7365,174,BERJALAN,BERJALAN,34016
2026-04-06T16:48:00.489471,ESP32_001,User_001,0.031961,16.7747,85,BERJALAN,BERJALAN,36026
2026-04-06T16:48:02.536609,ESP32_001,User_001,0.025663,14.0872,166,BERJALAN,BERJALAN,38032
2026-04-06T16:48:04.584098,ESP32_001,User_001,0.034547,14.4308,179,BERJALAN,BERJALAN,40053
2026-04-06T16:48:06.528814,ESP32_001,User_001,0.031685,18.0357,173,BERJALAN,BERJALAN,42072
2026-04-06T16:48:08.579450,ESP32_001,User_001,0.033232,21.1546,183,BERJALAN,BERJALAN,44088
2026-04-06T16:48:10.546912,ESP32_001,User_001,0.034033,17.6311,186,BERJALAN,BERJALAN,46099
2026-04-06T16:48:12.573293,ESP32_001,User_001,0.042322,20.821,181,BERJALAN,BERJALAN,48105
2026-04-06T16:48:14.621348,ESP32_001,User_001,0.0377,21.8447,176,BERJALAN,BERJALAN,50113
2026-04-06T16:48:16.667942,ESP32_001,User_001,0.098799,32.3033,144,BERJALAN,BERJALAN,52124
2026-04-06T16:48:18.599939,ESP32_001,User_001,0.134371,34.9948,126,BERJALAN,BERJALAN,54140
2026-04-06T16:48:20.968782,ESP32_001,User_001,0.045053,24.9962,175,BERJALAN,BERJALAN,56150
2026-04-06T16:48:22.710167,ESP32_001,User_001,0.089935,37.9397,183,BERJALAN,BERJALAN,58161
2026-04-06T16:48:24.656035,ESP32_001,User_001,0.148937,33.4185,189,BERJALAN,BERJALAN,60175
2026-04-06T16:48:26.664097,ESP32_001,User_001,0.126967,42.3533,190,BERJALAN,BERJALAN,62193
2026-04-06T16:48:28.647353,ESP32_001,User_001,0.113996,32.9367,180,BERJALAN,BERJALAN,64193
2026-04-06T16:48:30.696278,ESP32_001,User_001,0.069399,24.1929,180,BERJALAN,BERJALAN,66202
2026-04-06T16:48:32.662264,ESP32_001,User_001,0.090131,29.4193,184,BERJALAN,BERJALAN,68211
