received_at,device_id,user,accel_stddev,gyro_stddev,bpm,local_act,activity,timestamp
2026-04-06T19:01:45.537220,ESP32_001,User_001,0.061336,43.4861,140,DUDUK,BERLARI,23677
2026-04-06T19:01:47.550326,ESP32_001,User_001,0.193596,39.637,92,BERLARI,BERLARI,25688
2026-04-06T19:01:49.573783,ESP32_001,User_001,0.15404,35.6296,142,BERLARI,BERLARI,27699
2026-04-06T19:01:51.579251,ESP32_001,User_001,0.131677,46.6862,142,BERLARI,BERLARI,29710
2026-04-06T19:01:53.575635,ESP32_001,User_001,0.149289,22.0459,0,BERLARI,BERLARI,31717
2026-04-06T19:01:55.583094,ESP32_001,User_001,0.097963,34.0198,47,BERLARI,BERLARI,33726
2026-04-06T19:01:57.589484,ESP32_001,User_001,0.222739,58.7338,47,BERJALAN,BERLARI,35732
2026-04-06T19:01:59.596460,ESP32_001,User_001,0.157982,31.869,99,BERLARI,BERLARI,37738
2026-04-06T19:02:01.609885,ESP32_001,User_001,0.128356,25.6597,167,BERLARI,BERLARI,39748
2026-04-06T19:02:03.616862,ESP32_001,User_001,0.108438,32.6699,167,BERLARI,BERLARI,41754
2026-04-06T19:02:05.627316,ESP32_001,User_001,0.14592,36.3156,0,BERJALAN,BERLARI,43768
2026-04-06T19:02:07.638908,ESP32_001,User_001,0.205052,47.8458,0,BERLARI,BERLARI,45777
2026-04-06T19:02:09.641135,ESP32_001,User_001,0.073094,26.561,40,BERJALAN,BERLARI,47782
2026-04-06T19:02:11.652841,ESP32_001,User_001,0.144729,29.6335,70,BERLARI,BERLARI,49795
2026-04-06T19:02:13.674976,ESP32_001,User_001,0.130717,30.0065,91,BERLARI,BERLARI,51813
2026-04-06T19:02:15.685197,ESP32_001,User_001,0.140986,28.9184,133,BERLARI,BERLARI,53825
2026-04-06T19:02:17.860859,ESP32_001,User_001,0.137884,25.8695,133,BERLARI,BERLARI,55828
2026-04-06T19:02:19.690422,ESP32_001,User_001,0.169965,27.0973,0,BERLARI,BERLARI,57832
2026-04-06T19:02:21.717882,ESP32_001,User_001,0.177511,41.9202,139,BERLARI,BERLARI,59846
2026-04-06T19:02:23.710940,ESP32_001,User_001,0.181993,33.1064,172,BERLARI,BERLARI,61850
2026-04-06T19:02:25.726040,ESP32_001,User_001,0.167775,31.6624,172,BERLARI,BERLARI,63859
2026-04-06T19:02:27.736083,ESP32_001,User_001,0.182622,33.0751,0,BERLARI,BERLARI,65877
2026-04-06T19:02:29.745792,ESP32_001,User_001,0.213121,51.6537,49,BERLARI,BERLARI,67886
2026-04-06T19:02:31.757296,ESP32_001,User_001,0.139637,28.3852,122,BERLARI,BERLARI,69897
2026-04-06T19:02:33.770981,ESP32_001,User_001,0.170464,44.3151,159,BERLARI,BERLARI,71912
2026-04-06T19:02:35.782271,ESP32_001,User_001,0.123627,36.5525,159,BERLARI,BERLARI,73923
2026-04-06T19:02:37.793201,ESP32_001,User_001,0.159828,52.4434,0,BERLARI,BERLARI,75931
2026-04-06T19:02:39.800496,ESP32_001,User_001,0.25302,46.4863,43,BERLARI,BERLARI,77941
2026-04-06T19:02:41.819049,ESP32_001,User_001,0.143194,29.7552,117,BERLARI,BERLARI,79956
2026-04-06T19:02:43.821803,ESP32_001,User_001,0.363067,47.09,160,BERLARI,BERLARI,81963
2026-04-06T19:02:45.827536,ESP32_001,User_001,0.224453,38.8374,166,BERLARI,BERLARI,83968
2026-04-06T19:02:47.833807,ESP32_001,User_001,0.201313,30.5491,168,BERLARI,BERLARI,85974
2026-04-06T19:02:49.841953,ESP32_001,User_001,0.16657,34.0205,145,BERLARI,BERLARI,87982
2026-04-06T19:02:51.852164,ESP32_001,User_001,0.141668,23.7008,160,BERLARI,BERLARI,89993
2026-04-06T19:02:53.870325,ESP32_001,User_001,0.210199,26.1387,160,BERLARI,BERLARI,92009
2026-04-06T19:02:55.882251,ESP32_001,User_001,0.126262,35.5155,0,BERLARI,BERLARI,94021
2026-04-06T19:02:57.895174,ESP32_001,User_001,0.151194,24.6254,0,BERLARI,BERLARI,96032
2026-04-06T19:02:59.896474,ESP32_001,User_001,0.141355,29.7448,0,BERLARI,BERLARI,98036
2026-04-06T19:03:01.911049,ESP32_001,User_001,0.114124,23.9299,82,BERJALAN,BERLARI,100052
2026-04-06T19:03:03.924469,ESP32_001,User_001,0.138997,32.8851,128,BERLARI,BERLARI,102064
2026-04-06T19:03:05.931068,ESP32_001,User_001,0.115384,33.009,143,BERLARI,BERLARI,104067
2026-04-06T19:03:07.945080,ESP32_001,User_001,0.07267,29.731,173,BERLARI,BERLARI,106081
2026-04-06T19:03:09.950385,ESP32_001,User_001,0.079021,28.2074,185,BERJALAN,BERLARI,108090
2026-04-06T19:03:11.962944,ESP32_001,User_001,0.199527,42.6407,185,BERLARI,BERLARI,110101
2026-04-06T19:03:13.985970,ESP32_001,User_001,0.174237,40.1859,182,BERLARI,BERLARI,112122
2026-04-06T19:03:15.997481,ESP32_001,User_001,0.149959,30.6626,182,BERLARI,BERLARI,114133
2026-04-06T19:03:17.999115,ESP32_001,User_001,0.124103,37.2285,182,BERLARI,BERLARI,116137
2026-04-06T19:03:20.006003,ESP32_001,User_001,0.129275,41.7334,110,BERLARI,BERLARI,118145
2026-04-06T19:03:22.022184,ESP32_001,User_001,0.110887,28.8392,177,BERLARI,BERLARI,120161
2026-04-06T19:03:24.030186,ESP32_001,User_001,0.120473,27.6255,177,BERJALAN,BERLARI,122169
2026-04-06T19:03:26.043606,ESP32_001,User_001,0.143903,28.0224,187,BERLARI,BERLARI,124181
2026-04-06T19:03:28.055642,ESP32_001,User_001,0.123437,46.3901,193,BERLARI,BERLARI,126195
2026-04-06T19:03:30.071411,ESP32_001,User_001,0.16325,36.3231,193,BERLARI,BERLARI,128211
2026-04-06T19:03:32.086104,ESP32_001,User_001,0.129128,32.4952,0,BERLARI,BERLARI,130223
2026-04-06T19:03:34.089074,ESP32_001,User_001,0.117909,46.3923,44,BERLARI,BERLARI,132227
2026-04-06T19:03:36.101807,ESP32_001,User_001,0.165771,37.6146,141,BERLARI,BERLARI,134241
2026-04-06T19:03:38.105822,ESP32_001,User_001,0.167852,39.1739,160,BERLARI,BERLARI,136245
2026-04-06T19:03:40.111869,ESP32_001,User_001,0.130282,45.3144,168,BERLARI,BERLARI,138250
2026-04-06T19:03:42.116617,ESP32_001,User_001,0.143957,37.9279,168,BERLARI,BERLARI,140256
2026-04-06T19:03:44.122955,ESP32_001,User_001,0.15811,36.667,0,BERLARI,BERLARI,142262
