received_at,device_id,participant_id,accel_stddev,gyro_stddev,bpm,activity,local_act,timestamp
2026-04-13T10:35:09.177318,ESP32_001,data_collection_BERLARI,0.32376,27.9383,53,BERLARI,DUDUK,1286557
2026-04-13T10:35:11.197776,ESP32_001,data_collection_BERLARI,0.210702,16.7196,79,BERLARI,BERLARI,1288561
2026-04-13T10:35:13.185159,ESP32_001,data_collection_BERLARI,0.213754,12.4111,144,BERLARI,BERLARI,1290570
2026-04-13T10:35:15.204403,ESP32_001,data_collection_BERLARI,0.27131,30.4181,155,BERLARI,BERLARI,1292581
2026-04-13T10:35:17.208266,ESP32_001,data_collection_BERLARI,0.292566,21.9606,158,BERLARI,BERLARI,1294593
2026-04-13T10:35:19.214774,ESP32_001,data_collection_BERLARI,0.200332,21.9695,143,BERLARI,BERLARI,1296599
2026-04-13T10:35:21.455544,ESP32_001,data_collection_BERLARI,0.328681,28.0109,121,BERLARI,BERLARI,1298611
2026-04-13T10:35:23.245194,ESP32_001,data_collection_BERLARI,0.387119,23.3469,98,BERLARI,BERLARI,1300630
2026-04-13T10:35:25.255891,ESP32_001,data_collection_BERLARI,0.345453,17.6187,117,BERLARI,BERLARI,1302639
2026-04-13T10:35:27.271598,ESP32_001,data_collection_BERLARI,0.254698,16.5868,145,BERLARI,BERLARI,1304650
2026-04-13T10:35:29.283271,ESP32_001,data_collection_BERLARI,0.162758,46.4238,154,BERLARI,BERLARI,1306661
2026-04-13T10:35:31.282901,ESP32_001,data_collection_BERLARI,0.28253,21.078,144,BERLARI,BERLARI,1308667
2026-04-13T10:35:33.303696,ESP32_001,data_collection_BERLARI,0.247088,19.9967,137,BERLARI,BERLARI,1310678
2026-04-13T10:35:35.310380,ESP32_001,data_collection_BERLARI,0.322895,19.026,150,BERLARI,BERLARI,1312688
2026-04-13T10:35:37.414280,ESP32_001,data_collection_BERLARI,0.360481,31.9112,152,BERLARI,BERLARI,1314701
2026-04-13T10:35:39.352380,ESP32_001,data_collection_BERLARI,0.298382,21.4672,150,BERLARI,BERLARI,1316712
2026-04-13T10:35:41.366583,ESP32_001,data_collection_BERLARI,0.055356,35.0819,151,BERLARI,BERLARI,1318726
2026-04-13T10:35:43.348798,ESP32_001,data_collection_BERLARI,0.041896,65.1244,151,BERLARI,BERLARI,1320733
2026-04-13T10:35:45.358531,ESP32_001,data_collection_BERLARI,0.198987,30.8705,0,BERLARI,BERLARI,1322739
2026-04-13T10:35:47.368602,ESP32_001,data_collection_BERLARI,0.022001,15.4445,0,BERLARI,BERLARI,1324746
2026-04-13T10:35:49.380527,ESP32_001,data_collection_BERLARI,0.099515,22.7583,0,BERLARI,BERJALAN,1326753
2026-04-13T10:35:51.911418,ESP32_001,data_collection_BERLARI,0.023897,19.5487,69,BERLARI,BERLARI,1328763
2026-04-13T10:35:53.388099,ESP32_001,data_collection_BERLARI,0.174386,29.3367,69,BERLARI,BERLARI,1330770
2026-04-13T10:35:55.414620,ESP32_001,data_collection_BERLARI,0.229822,36.5042,75,BERLARI,BERLARI,1332776
2026-04-13T10:35:57.398274,ESP32_001,data_collection_BERLARI,0.244951,48.7889,72,BERLARI,BERLARI,1334782
2026-04-13T10:35:59.407291,ESP32_001,data_collection_BERLARI,0.219725,40.3605,70,BERLARI,BERLARI,1336789
2026-04-13T10:36:01.426300,ESP32_001,data_collection_BERLARI,0.199375,42.8732,122,BERLARI,BERLARI,1338803
2026-04-13T10:36:03.452808,ESP32_001,data_collection_BERLARI,0.177174,38.4463,149,BERLARI,BERLARI,1340818
2026-04-13T10:36:05.446537,ESP32_001,data_collection_BERLARI,0.169424,41.7843,159,BERLARI,BERLARI,1342829
2026-04-13T10:36:07.540862,ESP32_001,data_collection_BERLARI,0.129493,28.3805,165,BERLARI,BERLARI,1344849
