received_at,participant_no,participant_id,accel_stddev,gyro_stddev,bpm,local_act,timestamp
2026-04-23T12:39:48.533476,4,PSR_04,0.019785,22.1958,0,BERJALAN,70322
2026-04-23T12:39:50.534392,4,PSR_04,0.062058,32.6267,0,BERJALAN,72328
2026-04-23T12:39:52.557867,4,PSR_04,0.019933,13.0443,0,BERJALAN,74348
2026-04-23T12:39:54.806403,4,PSR_04,0.03505,28.6451,0,BERJALAN,76602
2026-04-23T12:39:58.826737,4,PSR_04,0.021546,15.7768,77,BERJALAN,80622
2026-04-23T12:40:00.840327,4,PSR_04,0.00697,1.2131,104,BERJALAN,82636
2026-04-23T12:40:02.851395,4,PSR_04,0.008864,0.2587,110,DUDUK,84647
2026-04-23T12:40:05.322556,4,PSR_04,0.012051,0.1808,106,DUDUK,86853
2026-04-23T12:40:07.068494,4,PSR_04,0.00619,0.1696,96,DUDUK,88862
2026-04-23T12:40:09.073155,4,PSR_04,0.008439,0.3601,88,DUDUK,90867
2026-04-23T12:40:11.089395,4,PSR_04,0.009587,0.1809,83,DUDUK,92879
2026-04-23T12:40:13.095734,4,PSR_04,0.00699,0.2918,81,DUDUK,94889
2026-04-23T12:40:15.105230,4,PSR_04,0.007635,0.1486,81,DUDUK,96899
2026-04-23T12:40:17.113342,4,PSR_04,0.007294,0.2386,81,DUDUK,98906
2026-04-23T12:40:19.135672,4,PSR_04,0.009527,0.1699,81,DUDUK,100929
2026-04-23T12:40:21.708937,4,PSR_04,0.009711,0.1398,80,DUDUK,103247
2026-04-23T12:40:23.467407,4,PSR_04,0.007841,0.1313,78,DUDUK,105259
2026-04-23T12:40:25.481328,4,PSR_04,0.009432,0.1053,77,DUDUK,107270
2026-04-23T12:40:27.491408,4,PSR_04,0.009699,0.173,74,DUDUK,109283
2026-04-23T12:40:29.506751,4,PSR_04,0.006923,0.1159,72,DUDUK,111292
2026-04-23T12:40:31.515439,4,PSR_04,0.008465,0.1189,71,DUDUK,113307
2026-04-23T12:40:33.520532,4,PSR_04,0.009621,0.1246,71,DUDUK,115312
2026-04-23T12:40:35.527035,4,PSR_04,0.006964,0.0894,71,DUDUK,117318
2026-04-23T12:40:37.888815,4,PSR_04,0.00681,0.135,71,DUDUK,119426
2026-04-23T12:40:39.643593,4,PSR_04,0.007615,0.0948,71,DUDUK,121436
2026-04-23T12:40:41.647683,4,PSR_04,0.010861,1.1489,71,DUDUK,123440
2026-04-23T12:40:43.655491,4,PSR_04,0.006442,3.1271,67,DUDUK,125448
2026-04-23T12:40:45.670624,4,PSR_04,0.007669,0.2256,66,DUDUK,127463
2026-04-23T12:40:47.679569,4,PSR_04,0.008011,0.1003,64,DUDUK,129468
2026-04-23T12:40:49.687352,4,PSR_04,0.009618,0.1729,63,DUDUK,131480
2026-04-23T12:40:51.698259,4,PSR_04,0.008334,0.2357,66,DUDUK,133490
2026-04-23T12:40:54.481368,4,PSR_04,0.00687,0.2059,69,DUDUK,136013
2026-04-23T12:40:56.242466,4,PSR_04,0.006485,0.1166,72,DUDUK,138033
2026-04-23T12:40:58.253269,4,PSR_04,0.007823,0.0942,74,DUDUK,140043
2026-04-23T12:41:00.268658,4,PSR_04,0.007163,0.1026,74,DUDUK,142053
2026-04-23T12:41:02.273282,4,PSR_04,0.006905,0.0889,72,DUDUK,144063
2026-04-23T12:41:04.279506,4,PSR_04,0.007579,0.1043,70,DUDUK,146068
2026-04-23T12:41:06.288547,4,PSR_04,0.00797,0.1139,69,DUDUK,148078
2026-04-23T12:41:08.298219,4,PSR_04,0.007938,0.1107,69,DUDUK,150088
2026-04-23T12:41:10.654227,4,PSR_04,0.010691,0.1118,69,DUDUK,152193
2026-04-23T12:41:12.406897,4,PSR_04,0.006751,0.0917,69,DUDUK,154198
