received_at,participant_no,participant_id,accel_stddev,gyro_stddev,bpm,activity,timestamp
2026-05-02T14:37:15.732233,4,PSR_004,0.007198,0.6044,0,DUDUK,47202
2026-05-02T14:37:23.757447,4,PSR_004,0.091138,30.5351,52,DUDUK,55219
2026-05-02T14:37:25.769147,4,PSR_004,0.03461,13.0193,82,DUDUK,57223
2026-05-02T14:37:27.797690,4,PSR_004,0.020039,6.0097,82,DUDUK,59223
2026-05-02T14:37:29.836677,4,PSR_004,0.030852,6.5564,46,DUDUK,61228
2026-05-02T14:37:31.783565,4,PSR_004,0.014081,13.3063,76,DUDUK,63238
2026-05-02T14:37:33.788817,4,PSR_004,0.009816,3.5849,89,DUDUK,65246
2026-05-02T14:37:35.788993,4,PSR_004,0.125751,54.9089,85,DUDUK,67253
2026-05-02T14:37:37.790165,4,PSR_004,0.121468,43.5956,79,DUDUK,69258
2026-05-02T14:37:39.806328,4,PSR_004,0.028535,12.4449,68,DUDUK,71268
2026-05-02T14:37:41.807995,4,PSR_004,0.057346,20.6974,63,DUDUK,73273
2026-05-02T14:37:43.908245,4,PSR_004,0.01904,34.2466,54,DUDUK,75278
2026-05-02T14:37:45.819284,4,PSR_004,0.141265,56.7916,49,DUDUK,77289
2026-05-02T14:37:47.828700,4,PSR_004,0.079145,26.2267,59,DUDUK,79300
2026-05-02T14:37:49.837149,4,PSR_004,0.0893,23.7306,101,DUDUK,81303
2026-05-02T14:37:51.845762,4,PSR_004,0.092097,25.945,114,DUDUK,83306
2026-05-02T14:37:53.867648,4,PSR_004,0.01303,1.2197,113,DUDUK,85312
2026-05-02T14:37:55.848197,4,PSR_004,0.029545,4.5296,104,DUDUK,87322
2026-05-02T14:37:57.868930,4,PSR_004,0.017401,3.2977,102,DUDUK,89337
2026-05-02T14:37:59.877626,4,PSR_004,0.011028,3.0636,110,DUDUK,91347
2026-05-02T14:38:01.888457,4,PSR_004,0.014125,4.1213,112,DUDUK,93352
2026-05-02T14:38:03.887962,4,PSR_004,0.019847,1.8086,100,DUDUK,95355
2026-05-02T14:38:05.901243,4,PSR_004,0.009815,1.5971,87,DUDUK,97361
2026-05-02T14:38:07.915953,4,PSR_004,0.013947,1.2516,72,DUDUK,99369
2026-05-02T14:38:09.925866,4,PSR_004,0.010363,1.0655,64,DUDUK,101374
2026-05-02T14:38:11.929986,4,PSR_004,0.00742,2.1419,76,DUDUK,103379
2026-05-02T14:38:13.946014,4,PSR_004,0.017566,3.727,80,DUDUK,105386
2026-05-02T14:38:15.987594,4,PSR_004,0.017056,3.5404,78,DUDUK,107402
2026-05-02T14:38:17.984131,4,PSR_004,0.018834,3.812,81,DUDUK,109406
2026-05-02T14:38:19.948232,4,PSR_004,0.014221,3.6169,81,DUDUK,111411
2026-05-02T14:38:25.981492,4,PSR_004,0.011842,4.5691,32,DUDUK,117442
2026-05-02T14:38:27.983159,4,PSR_004,0.016542,11.5381,35,DUDUK,119453
2026-05-02T14:38:30.000420,4,PSR_004,0.022838,11.5616,35,DUDUK,121458
2026-05-02T14:38:32.030682,4,PSR_004,0.041981,9.0656,43,DUDUK,123472
2026-05-02T14:38:34.029639,4,PSR_004,0.041324,23.0515,50,DUDUK,125477
2026-05-02T14:38:36.010239,4,PSR_004,0.07051,22.6024,56,DUDUK,127482
2026-05-02T14:38:38.020045,4,PSR_004,0.014245,4.5968,71,DUDUK,129491
2026-05-02T14:38:40.041737,4,PSR_004,0.022211,7.4954,92,DUDUK,131496
2026-05-02T14:38:42.059055,4,PSR_004,0.011011,3.2256,92,DUDUK,133501
2026-05-02T14:38:44.039225,4,PSR_004,0.01507,11.9061,76,DUDUK,135511
2026-05-02T14:38:46.071075,4,PSR_004,0.016221,7.0016,75,DUDUK,137527
2026-05-02T14:38:48.099043,4,PSR_004,0.010624,2.7482,117,DUDUK,139534
2026-05-02T14:38:50.086892,4,PSR_004,0.011667,1.9367,130,DUDUK,141545
2026-05-02T14:38:52.091755,4,PSR_004,0.008636,2.5142,125,DUDUK,143554
2026-05-02T14:38:54.109148,4,PSR_004,0.009638,2.2017,123,DUDUK,145559
2026-05-02T14:38:56.112115,4,PSR_004,0.010145,2.9981,123,DUDUK,147565
2026-05-02T14:38:58.131114,4,PSR_004,0.011924,3.3424,0,DUDUK,149571
2026-05-02T14:39:00.271300,4,PSR_004,0.008058,2.6518,100,DUDUK,151579
2026-05-02T14:39:02.134162,4,PSR_004,0.009075,1.5093,119,DUDUK,153594
2026-05-02T14:39:04.152642,4,PSR_004,0.009591,3.6144,114,DUDUK,155599
2026-05-02T14:39:06.154840,4,PSR_004,0.006432,1.8111,97,DUDUK,157615
2026-05-02T14:39:08.174100,4,PSR_004,0.007562,1.7697,102,DUDUK,159626
2026-05-02T14:39:10.176569,4,PSR_004,0.012006,1.622,120,DUDUK,161631
2026-05-02T14:39:12.174026,4,PSR_004,0.00808,2.4673,123,DUDUK,163640
2026-05-02T14:39:14.222258,4,PSR_004,0.019014,4.6878,118,DUDUK,165650
2026-05-02T14:39:16.199350,4,PSR_004,0.014906,11.9025,118,DUDUK,167657
2026-05-02T14:39:20.223018,4,PSR_004,0.066993,18.3739,31,DUDUK,171677
2026-05-02T14:39:22.221535,4,PSR_004,0.021554,11.622,42,DUDUK,173687
