received_at,participant_no,participant_id,accel_stddev,gyro_stddev,bpm,activity,timestamp
2026-05-03T12:39:50.645814,10,PSR_01O,0.005479,15.506,0,BERJALAN,7099949
2026-05-03T12:39:52.659326,10,PSR_01O,0.083925,93.1347,34,BERJALAN,7101957
2026-05-03T12:39:54.667674,10,PSR_01O,0.122678,83.196,53,BERJALAN,7103968
2026-05-03T12:39:56.683757,10,PSR_01O,0.116917,43.2364,78,BERJALAN,7105986
2026-05-03T12:39:58.678926,10,PSR_01O,0.077808,50.3901,78,BERJALAN,7107981
2026-05-03T12:40:00.685209,10,PSR_01O,0.092106,46.1108,0,BERJALAN,7109986
2026-05-03T12:40:02.691013,10,PSR_01O,0.108454,38.8574,0,BERJALAN,7111993
2026-05-03T12:40:04.696974,10,PSR_01O,0.128326,40.8725,0,BERJALAN,7113999
2026-05-03T12:40:06.701841,10,PSR_01O,0.137748,48.7369,0,BERJALAN,7116004
2026-05-03T12:40:08.707336,10,PSR_01O,0.058101,58.4796,0,BERJALAN,7118009
2026-05-03T12:40:10.726183,10,PSR_01O,0.046382,24.0152,0,BERJALAN,7120019
2026-05-03T12:40:12.727030,10,PSR_01O,0.101185,27.8256,0,BERJALAN,7122029
2026-05-03T12:40:16.744690,10,PSR_01O,0.090125,36.6395,96,BERJALAN,7126046
2026-05-03T12:40:18.748378,10,PSR_01O,0.087666,21.8594,121,BERJALAN,7128051
2026-05-03T12:40:20.752575,10,PSR_01O,0.05272,24.0694,114,BERJALAN,7130054
2026-05-03T12:40:22.766525,10,PSR_01O,0.040094,19.0624,102,BERJALAN,7132068
2026-05-03T12:40:24.777303,10,PSR_01O,0.039771,20.4469,94,BERJALAN,7134078
2026-05-03T12:40:26.788618,10,PSR_01O,0.02245,13.8836,93,BERJALAN,7136088
2026-05-03T12:40:28.793370,10,PSR_01O,0.014222,20.1013,90,BERJALAN,7138094
2026-05-03T12:40:30.797216,10,PSR_01O,0.008196,27.8805,82,BERJALAN,7140099
2026-05-03T12:40:32.808550,10,PSR_01O,0.010919,20.9646,78,BERJALAN,7142102
2026-05-03T12:40:34.811479,10,PSR_01O,0.009221,20.4312,88,BERJALAN,7144113
2026-05-03T12:40:36.890757,10,PSR_01O,0.014633,19.3742,108,BERJALAN,7146120
2026-05-03T12:40:38.822572,10,PSR_01O,0.01735,21.1011,129,BERJALAN,7148124
2026-05-03T12:40:40.832216,10,PSR_01O,0.015568,28.7538,131,BERJALAN,7150134
2026-05-03T12:40:42.848184,10,PSR_01O,0.042195,20.1554,122,BERJALAN,7152149
2026-05-03T12:40:44.855870,10,PSR_01O,0.077567,30.3228,115,BERJALAN,7154156
2026-05-03T12:40:46.861799,10,PSR_01O,0.078163,16.6113,93,BERJALAN,7156161
2026-05-03T12:40:48.872953,10,PSR_01O,0.047038,28.182,93,BERJALAN,7158172
2026-05-03T12:40:50.878011,10,PSR_01O,0.079034,25.5081,120,BERJALAN,7160178
2026-05-03T12:40:52.885378,10,PSR_01O,0.044135,24.1289,128,BERJALAN,7162186
2026-05-03T12:40:54.899329,10,PSR_01O,0.036316,20.135,143,BERJALAN,7164200
2026-05-03T12:40:56.918339,10,PSR_01O,0.015865,12.9468,179,BERJALAN,7166219
2026-05-03T12:40:58.929017,10,PSR_01O,0.013397,27.7588,167,BERJALAN,7168229
2026-05-03T12:41:00.938608,10,PSR_01O,0.052305,33.2864,135,BERJALAN,7170239
2026-05-03T12:41:02.960709,10,PSR_01O,0.023479,20.5885,107,BERJALAN,7172260
2026-05-03T12:41:04.974074,10,PSR_01O,0.016054,15.9342,127,BERJALAN,7174274
2026-05-03T12:41:06.978027,10,PSR_01O,0.028566,20.426,127,BERJALAN,7176279
2026-05-03T12:41:08.988415,10,PSR_01O,0.207854,29.8226,109,BERJALAN,7178289
2026-05-03T12:41:10.997528,10,PSR_01O,0.236693,20.7078,81,BERJALAN,7180298
2026-05-03T12:41:13.017844,10,PSR_01O,0.267868,24.899,74,BERJALAN,7182312
2026-05-03T12:41:15.025894,10,PSR_01O,0.256839,38.1547,81,BERJALAN,7184326
2026-05-03T12:41:17.031091,10,PSR_01O,0.245303,28.0385,81,BERJALAN,7186331
2026-05-03T12:41:19.042137,10,PSR_01O,0.154511,17.0864,105,BERJALAN,7188342
2026-05-03T12:41:21.052518,10,PSR_01O,0.148885,18.4024,130,BERJALAN,7190352
2026-05-03T12:41:23.057152,10,PSR_01O,0.210631,23.846,143,BERJALAN,7192357
2026-05-03T12:41:25.063772,10,PSR_01O,0.260183,24.1213,128,BERJALAN,7194364
2026-05-03T12:41:27.067553,10,PSR_01O,0.258828,21.1228,105,BERJALAN,7196367
2026-05-03T12:41:29.078723,10,PSR_01O,0.2171,18.1202,91,BERJALAN,7198377
2026-05-03T12:41:31.088997,10,PSR_01O,0.228433,20.4445,83,BERJALAN,7200382
2026-05-03T12:41:33.097329,10,PSR_01O,0.196003,18.755,70,BERJALAN,7202397
2026-05-03T12:41:35.103187,10,PSR_01O,0.158135,22.1855,64,BERJALAN,7204403
2026-05-03T12:41:37.116568,10,PSR_01O,0.067545,32.571,74,BERJALAN,7206411
2026-05-03T12:41:39.128454,10,PSR_01O,0.087601,33.2634,84,BERJALAN,7208418
2026-05-03T12:41:41.123799,10,PSR_01O,0.205255,13.0707,97,BERJALAN,7210423
2026-05-03T12:41:43.139691,10,PSR_01O,0.163422,14.0941,92,BERJALAN,7212439
2026-05-03T12:41:45.145590,10,PSR_01O,0.172388,12.5957,92,BERJALAN,7214445
2026-05-03T12:41:51.188561,10,PSR_01O,0.14356,13.3912,46,BERJALAN,7220473
2026-05-03T12:41:53.183802,10,PSR_01O,0.091831,16.9925,67,BERJALAN,7222482
2026-05-03T12:41:55.192556,10,PSR_01O,0.127349,12.7028,91,BERJALAN,7224491
2026-05-03T12:41:57.196291,10,PSR_01O,0.078237,12.8128,95,BERJALAN,7226496
2026-05-03T12:41:59.209544,10,PSR_01O,0.104329,14.8813,91,BERJALAN,7228508
2026-05-03T12:42:01.219629,10,PSR_01O,0.075034,10.8099,82,BERJALAN,7230518
2026-05-03T12:42:03.224916,10,PSR_01O,0.084846,13.3082,77,BERJALAN,7232523
2026-05-03T12:42:05.230742,10,PSR_01O,0.144322,14.6499,69,BERJALAN,7234529
