session_no,participant_no,participant_id,activity,timestamp,total_samples,bpm_valid,bpm_valid_pct,avg_accel_stddev,avg_gyro_stddev,avg_bpm,durasi_detik
1,1,PSR_001,DUDUK,2026-05-02T10:45:32.813101,300,277,92.3,0.0149,4.04,74.8,606.2
2,1,PSR_001,BERJALAN,2026-05-02T10:57:17.150478,301,296,98.3,0.1206,22.69,86.5,606.2
3,1,PSR_001,BERLARI,2026-05-02T11:08:38.186121,302,299,99.0,0.1448,56.77,144.9,606.2
4,2,PSR_002,DUDUK,2026-05-02T11:21:36.726760,293,254,86.7,0.0212,6.51,75.5,606.2
5,2,PSR_002,BERJALAN,2026-05-02T11:33:39.440432,301,299,99.3,0.1219,20.6,93.1,606.2
6,2,PSR_002,BERLARI,2026-05-02T11:46:05.558124,300,285,95.0,0.1179,43.61,149.0,606.2
7,3,PSR_003,DUDUK,2026-05-02T12:05:50.155164,296,278,93.9,0.016,8.68,93.7,606.2
8,3,PSR_003,BERJALAN,2026-05-02T13:17:37.661739,302,302,100.0,0.0525,19.28,89.7,606.2
9,3,PSR_003,BERLARI,2026-05-02T13:29:41.901176,299,261,87.3,0.1512,53.87,147.2,606.2
10,4,PSR_004,DUDUK,2026-05-02T14:47:22.595125,287,265,92.3,0.0293,9.24,76.3,606.2
11,4,PSR_004,BERJALAN,2026-05-02T15:22:55.511950,289,212,73.4,0.0403,17.13,92.1,606.2
12,4,PSR_004,BERLARI,2026-05-02T15:45:30.005498,293,286,97.6,0.1388,24.62,145.9,606.2
13,5,PSR_005,DUDUK,2026-05-02T17:02:09.135957,291,246,84.5,0.0251,11.94,91.5,606.8
14,5,PSR_005,BERJALAN,2026-05-02T21:10:18.917516,300,275,91.7,0.0294,11.46,87.6,606.2
15,5,PSR_005,BERLARI,2026-05-03T08:25:41.168977,302,287,95.0,0.1111,60.92,109.1,606.2
16,6,PSR_006,DUDUK,2026-05-03T08:42:13.318433,293,212,72.4,0.0319,21.08,92.2,606.2
17,6,PSR_006,BERJALAN,2026-05-03T08:53:25.364410,297,287,96.6,0.0541,32.45,92.0,606.2
18,6,PSR_006,BERLARI,2026-05-03T09:04:31.163844,299,294,98.3,0.1404,65.84,111.2,606.2
19,7,PSR_007,DUDUK,2026-05-03T09:18:54.081423,297,278,93.6,0.013,3.7,67.7,606.2
20,7,PSR_007,BERJALAN,2026-05-03T09:30:52.284178,295,235,79.7,0.0457,17.6,87.8,606.2
21,7,PSR_007,BERLARI,2026-05-03T10:10:25.061131,302,298,98.7,0.0786,35.07,112.7,606.2
22,8,PSR_008,DUDUK,2026-05-03T10:37:03.461227,300,256,85.3,0.0107,2.47,83.2,606.2
23,8,PSR_008,BERJALAN,2026-05-03T10:52:15.853156,290,237,81.7,0.0946,28.66,81.7,606.2
24,8,PSR_008,BERLARI,2026-05-03T11:05:11.054990,300,300,100.0,0.125,61.3,96.4,606.2
25,9,PSR_009,DUDUK,2026-05-03T11:16:32.037279,296,266,89.9,0.0271,7.37,115.8,606.2
26,9,PSR_009,BERJALAN,2026-05-03T11:26:55.990452,302,300,99.3,0.1275,27.03,78.0,606.2
27,9,PSR_009,BERLARI,2026-05-03T11:37:27.516635,302,302,100.0,0.1125,78.83,108.5,606.2
28,10,PSR_01O,DUDUK,2026-05-03T12:35:55.742535,299,280,93.6,0.0098,1.59,85.3,606.2
29,10,PSR_01O,BERJALAN,2026-05-03T12:49:56.222770,296,276,93.2,0.114,18.49,79.1,606.2
30,10,PSR_01O,BERLARI,2026-05-03T13:00:16.318479,300,297,99.0,0.1383,79.76,117.0,606.2
31,11,PSR_011,DUDUK,2026-05-03T18:37:18.991943,302,299,99.0,0.0085,0.98,79.7,606.3
32,11,PSR_011,BERJALAN,2026-05-03T18:47:58.080946,298,292,98.0,0.0855,55.53,97.5,606.2
33,11,PSR_011,BERLARI,2026-05-03T19:00:03.686764,301,291,96.7,0.1485,67.0,138.0,606.3
34,12,PSR_012,DUDUK,2026-05-03T19:20:08.639401,298,291,97.7,0.0122,3.61,83.7,606.2
35,12,PSR_012,BERJALAN,2026-05-03T19:30:59.398369,300,291,97.0,0.0336,22.92,96.1,606.3
36,12,PSR_012,BERLARI,2026-05-03T19:41:34.597913,301,266,88.4,0.19,55.65,152.9,606.2
37,13,PSR_013,DUDUK,2026-05-03T20:13:56.824373,300,294,98.0,0.0087,1.39,78.5,606.3
38,13,PSR_013,BERJALAN,2026-05-03T20:25:03.029349,300,298,99.3,0.0195,11.91,90.0,606.3
39,13,PSR_013,BERLARI,2026-05-03T20:36:40.588232,296,272,91.9,0.1285,47.66,138.0,606.2
40,14,PSR_014,DUDUK,2026-05-04T11:38:28.141718,302,298,98.7,0.0068,0.75,90.4,606.2
41,14,PSR_014,BERJALAN,2026-05-04T11:49:01.000628,300,265,88.3,0.037,23.64,101.2,606.3
42,14,PSR_014,BERLARI,2026-05-04T11:59:21.845626,302,302,100.0,0.0913,64.12,131.0,606.2
